project_id,work_name,sector,work_type,state,district,constituency,mp_name,sanction_date,start_date,expected_completion_date,completion_date,status,sanctioned_amount,estimated_cost,actual_expenditure,physical_progress_percentage,implementing_agency,beneficiary_count,latitude,longitude
"MPL-2023-UT-0079","Establishment of Youth Digital Library and E-Learning Hub at Sundarpur, Block Gorakhpur","Education","Public Library","Uttar Pradesh","Gorakhpur","Gorakhpur Parliamentary Constituency","Rajveer Singh","2023-01-05","2023-02-06","2023-08-06","2023-08-18","Completed",1400000,1400000,1288000,100,"District Library Authority",3580,25.9367,82.2762
"MPL-2024-MA-0080","Construction of Underground Covered RCC Drain in Narayanpur, Block Nagpur","Water & Sanitation","Drainage Network","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-12","2024-03-16","2024-09-16","2024-09-29","Completed",2000000,2000000,1870000,100,"Jal Sansthan",4500,19.4365,74.5589
"MPL-2025-BI-0081","Construction of Model Anganwadi Child Care Centre in Village Sitapur, Block Darbhanga","Rural Development","Anganwadi Centre","Bihar","Darbhanga","Darbhanga Parliamentary Constituency","Sanjay Jha","2025-03-19","2025-04-22","2025-11-22","2025-12-06","Completed",900000,900000,855000,100,"Rural Works Organization",3380,25.3761,85.1731
"MPL-2023-TA-0082","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Bhagwanpur, Block Tirunelveli","Public Amenities","Crematorium Shed","Tamil Nadu","Tirunelveli","Tirunelveli Parliamentary Constituency","K. Kanimozhi","2023-04-01","2023-04-21","2023-10-21","2023-10-11","Completed",1100000,1100000,1061500,100,"Zila Parishad",3820,12.0021,79.5319
"MPL-2024-RA-0083","Installation of Open Gym Equipment and Play Ground Development in Keshopur, Block Alwar","Sports & Youth Affairs","Open Gym & Sports","Rajasthan","Alwar","Alwar Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-08","2024-05-29","2024-07-29","","Delayed",800000,800000,680000,65,"Municipal Board",3660,28.4938,72.6079
"MPL-2025-KA-0084","Construction of CC Road and Interlocking Pavement in Shahpur, Block Tumakuru","Infrastructure","Road Construction","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-15","2025-07-07","2026-01-07","","In Progress",1800000,1800000,1308960,72,"Zila Parishad Engineering Wing",5060,13.8823,75.1189
"MPL-2023-MA-0085","Construction of Dr. Ambedkar Community Center & Bhavan at Shivpur, Block Bhopal","Public Amenities","Community Hall","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-22","2023-08-14","2024-03-14","2024-03-07","Completed",2200000,2200000,2222000,100,"Rural Development Authority",5740,22.1334,79.0769
"MPL-2024-GU-0086","Installation of Solar-Powered Deep Tube Well & RO Plant in Govindpur, Block Surat","Water & Sanitation","Drinking Water Borewell","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-04","2024-08-28","2025-01-28","2025-01-22","Completed",600000,600000,615000,100,"Jal Nigam",4020,22.0137,72.6274
"MPL-2025-OD-0087","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Madhopur, Block Ganjam","Energy & Lighting","Solar Street Lights","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-11","2025-10-06","2026-01-06","2026-01-01","Completed",1200000,1200000,1104000,100,"District Rural Development Agency",2940,21.3017,84.0485
"MPL-2023-WE-0088","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Mohanpur, Block Hooghly","Education","School Classroom Block","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-18","2023-11-13","2024-08-13","2024-08-09","Completed",2400000,2400000,2244000,100,"State Educational Infrastructure Dev Corp",4580,23.9318,87.82
"MPL-2024-AS-0089","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Sundarpur, Block Silchar","Healthcare","Primary Health Centre","Assam","Silchar","Silchar Parliamentary Constituency","Gaurav Gogoi","2024-11-25","2024-12-22","2025-08-22","2025-08-19","Completed",1500000,1500000,1425000,100,"State Health System Corp",3700,27.7406,93.9176
"MPL-2025-KE-0090","Establishment of Youth Digital Library and E-Learning Hub at Narayanpur, Block Thrissur","Education","Public Library","Kerala","Thrissur","Thrissur Parliamentary Constituency","Shashi Tharoor","2025-12-07","2026-01-04","2026-08-04","2026-08-02","Completed",1400000,1400000,1351000,100,"Education Department",3780,9.4855,74.7661
"MPL-2023-UT-0091","Construction of Underground Covered RCC Drain in Sitapur, Block Ghaziabad","Water & Sanitation","Drainage Network","Uttar Pradesh","Ghaziabad","Ghaziabad Parliamentary Constituency","Rajveer Singh","2023-01-14","2023-02-12","2023-07-12","","In Progress",2000000,2000000,1690600,79,"Urban Local Bodies Directorate",4700,26.0767,80.4562
"MPL-2024-MA-0092","Construction of Model Anganwadi Child Care Centre in Village Bhagwanpur, Block Solapur","Rural Development","Anganwadi Centre","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-21","2024-03-22","2024-06-22","2024-06-22","Completed",900000,900000,895500,100,"Panchayat Samiti",3580,19.5765,76.2389
"MPL-2025-BI-0093","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Keshopur, Block Muzaffarpur","Public Amenities","Crematorium Shed","Bihar","Muzaffarpur","Muzaffarpur Parliamentary Constituency","Sanjay Jha","2025-03-03","2025-04-03","2025-09-03","","Delayed",1100000,1100000,1298000,55,"District Rural Infrastructure Corp (DRIC)",4020,25.5161,86.8531
"MPL-2023-TA-0094","Installation of Open Gym Equipment and Play Ground Development in Shahpur, Block Salem","Sports & Youth Affairs","Open Gym & Sports","Tamil Nadu","Salem","Salem Parliamentary Constituency","K. Kanimozhi","2023-04-10","2023-05-12","2023-10-12","","Completed",800000,800000,820000,100,"Sports & Youth Welfare Directorate",3860,12.1421,77.7119
"MPL-2024-RA-0095","Construction of CC Road and Interlocking Pavement in Shivpur, Block Ajmer","Infrastructure","Road Construction","Rajasthan","Ajmer","Ajmer Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-17","2024-06-19","2025-01-19","2025-01-22","Completed",1800000,1800000,1656000,100,"Rural Engineering Services (RES)",5260,28.6338,74.2879
"MPL-2025-KA-0096","Construction of Dr. Ambedkar Community Center & Bhavan at Govindpur, Block Tumakuru","Public Amenities","Community Hall","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-24","2025-07-28","2026-06-28","2026-07-02","Completed",2200000,2200000,2057000,100,"Municipal Corporation",5940,14.0223,76.7989
"MPL-2023-MA-0097","Installation of Solar-Powered Deep Tube Well & RO Plant in Madhopur, Block Bhopal","Water & Sanitation","Drinking Water Borewell","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-06","2023-07-26","2023-11-26","2023-12-01","Completed",600000,600000,570000,100,"Public Health Engineering Dept (PHED)",2220,22.2734,77.2569
"MPL-2024-GU-0098","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Mohanpur, Block Surat","Energy & Lighting","Solar Street Lights","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-13","2024-09-03","2025-03-03","","In Progress",1200000,1200000,482160,41,"Zila Panchayat Electrical Wing",3140,22.1537,70.8074
"MPL-2025-OD-0099","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Sundarpur, Block Ganjam","Education","School Classroom Block","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-20","2025-10-12","2026-06-12","2026-07-27","Completed",2400000,2400000,2928000,100,"Samagra Shiksha Abhiyan Cell",4780,21.4417,85.7285
"MPL-2023-WE-0100","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Narayanpur, Block Hooghly","Healthcare","Primary Health Centre","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-02","2023-10-25","2024-05-25","","Stalled",1500000,1500000,600000,25,"National Health Mission (NHM) Cell",3900,24.0718,89.5
"MPL-2024-AS-0101","Establishment of Youth Digital Library and E-Learning Hub at Sitapur, Block Jorhat","Education","Public Library","Assam","Jorhat","Jorhat Parliamentary Constituency","Gaurav Gogoi","2024-11-09","2024-12-03","2025-08-03","2025-08-12","Completed",1400000,1400000,1414000,100,"Zila Parishad",3980,27.8806,92.0976
"MPL-2025-KE-0102","Construction of Underground Covered RCC Drain in Bhagwanpur, Block Thiruvananthapuram","Water & Sanitation","Drainage Network","Kerala","Thiruvananthapuram","Thiruvananthapuram Parliamentary Constituency","Shashi Tharoor","2025-12-16","2026-01-10","2026-11-10","","In Progress",2000000,2000000,1900000,70,"District Rural Infrastructure Corp (DRIC)",4900,9.6255,76.4461
"MPL-2023-UT-0103","Construction of Model Anganwadi Child Care Centre in Village Keshopur, Block Kanpur Nagar","Rural Development","Anganwadi Centre","Uttar Pradesh","Kanpur Nagar","Kanpur Nagar Parliamentary Constituency","Rajveer Singh","2023-01-23","2023-02-18","2023-06-18","2023-06-29","Completed",900000,900000,828000,100,"Women & Child Development Dept",3780,26.2167,82.1362
"MPL-2024-MA-0104","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Shahpur, Block Nagpur","Public Amenities","Crematorium Shed","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-05","2024-03-03","2024-07-03","2024-07-15","Completed",1100000,1100000,1028500,100,"Municipal Council",4220,19.7165,74.4189
"MPL-2025-BI-0105","Installation of Open Gym Equipment and Play Ground Development in Shivpur, Block Patna","Sports & Youth Affairs","Open Gym & Sports","Bihar","Patna","Patna Parliamentary Constituency","Sanjay Jha","2025-03-12","2025-04-09","2025-08-09","","In Progress",800000,800000,399360,48,"Panchayat Sports Wing",4060,25.6561,85.0331
"MPL-2023-TA-0106","Construction of CC Road and Interlocking Pavement in Govindpur, Block Coimbatore","Infrastructure","Road Construction","Tamil Nadu","Coimbatore","Coimbatore Parliamentary Constituency","K. Kanimozhi","2023-04-19","2023-05-18","2024-01-18","2024-02-01","Completed",1800000,1800000,1737000,100,"Public Works Department (PWD)",5460,12.2821,79.3919
"MPL-2024-RA-0107","Construction of Dr. Ambedkar Community Center & Bhavan at Madhopur, Block Udaipur","Public Amenities","Community Hall","Rajasthan","Udaipur","Udaipur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-01","2024-05-31","2025-01-31","2025-01-21","Completed",2200000,2200000,2156000,100,"Zila Parishad",4140,25.2738,72.4679
"MPL-2025-KA-0108","Installation of Solar-Powered Deep Tube Well & RO Plant in Mohanpur, Block Tumakuru","Water & Sanitation","Drinking Water Borewell","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-08","2025-07-09","2025-10-09","2025-09-30","Completed",600000,600000,597000,100,"Panchayati Raj Dept",2420,14.1623,74.9789
"MPL-2023-MA-0109","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Sundarpur, Block Bhopal","Energy & Lighting","Solar Street Lights","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-15","2023-08-16","2024-01-16","2024-01-08","Completed",1200000,1200000,1212000,100,"State Renewable Energy Dev Agency",3340,22.4134,78.9369
"MPL-2024-GU-0110","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Narayanpur, Block Surat","Education","School Classroom Block","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-22","2024-09-24","2025-04-24","2025-04-17","Completed",2400000,2400000,2460000,100,"PWD (Building Division)",4980,22.2937,72.4874
"MPL-2025-OD-0111","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Sitapur, Block Ganjam","Healthcare","Primary Health Centre","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-04","2025-10-08","2026-04-08","2026-04-02","Completed",1500000,1500000,1380000,100,"PWD (Health Division)",4100,21.5817,83.9085
"MPL-2023-WE-0112","Establishment of Youth Digital Library and E-Learning Hub at Bhagwanpur, Block Hooghly","Education","Public Library","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-11","2023-10-31","2024-03-02","","In Progress",1400000,1400000,731500,55,"District Library Authority",4180,24.2118,87.68
"MPL-2024-AS-0113","Construction of Underground Covered RCC Drain in Keshopur, Block Dibrugarh","Water & Sanitation","Drainage Network","Assam","Dibrugarh","Dibrugarh Parliamentary Constituency","Gaurav Gogoi","2024-11-18","2024-12-09","2025-09-09","2025-09-05","Completed",2000000,2000000,1900000,100,"Jal Sansthan",5100,24.5206,93.7776
"MPL-2025-KE-0114","Construction of Model Anganwadi Child Care Centre in Village Shahpur, Block Kozhikode","Rural Development","Anganwadi Centre","Kerala","Kozhikode","Kozhikode Parliamentary Constituency","Shashi Tharoor","2025-12-25","2026-01-16","2026-06-16","2026-06-13","Completed",900000,900000,868500,100,"Rural Works Organization",3980,9.7655,74.6261
"MPL-2023-UT-0115","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Shivpur, Block Meerut","Public Amenities","Crematorium Shed","Uttar Pradesh","Meerut","Meerut Parliamentary Constituency","Rajveer Singh","2023-01-07","2023-01-30","2023-04-30","2023-04-28","Completed",1100000,1100000,1078000,100,"Zila Parishad",4420,26.3567,80.3162
"MPL-2024-MA-0116","Installation of Open Gym Equipment and Play Ground Development in Govindpur, Block Solapur","Sports & Youth Affairs","Open Gym & Sports","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-14","2024-03-09","2024-06-09","2024-06-08","Completed",800000,800000,796000,100,"Municipal Board",4260,19.8565,76.0989
"MPL-2025-BI-0117","Construction of CC Road and Interlocking Pavement in Madhopur, Block Purnia","Infrastructure","Road Construction","Bihar","Purnia","Purnia Parliamentary Constituency","Sanjay Jha","2025-03-21","2025-04-15","2025-08-15","2025-08-15","Completed",1800000,1800000,1818000,100,"Zila Parishad Engineering Wing",3660,25.7961,86.7131
"MPL-2023-TA-0118","Construction of Dr. Ambedkar Community Center & Bhavan at Mohanpur, Block Vellore","Public Amenities","Community Hall","Tamil Nadu","Vellore","Vellore Parliamentary Constituency","K. Kanimozhi","2023-04-03","2023-04-29","2024-04-29","2024-04-30","Completed",2200000,2200000,2255000,100,"Rural Development Authority",4340,12.4221,77.5719
"MPL-2024-RA-0119","Installation of Solar-Powered Deep Tube Well & RO Plant in Sundarpur, Block Jaipur","Water & Sanitation","Drinking Water Borewell","Rajasthan","Jaipur","Jaipur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-10","2024-06-06","2024-08-06","","In Progress",600000,600000,375720,62,"Jal Nigam",2620,25.4138,74.1479
"MPL-2025-KA-0120","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Narayanpur, Block Tumakuru","Energy & Lighting","Solar Street Lights","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-17","2025-07-15","2025-11-15","2025-11-18","Completed",1200000,1200000,1122000,100,"District Rural Development Agency",3540,14.3023,76.6589
"MPL-2023-MA-0121","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Sitapur, Block Bhopal","Education","School Classroom Block","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-24","2023-08-22","2024-02-22","","Delayed",2400000,2400000,2040000,65,"State Educational Infrastructure Dev Corp",5180,22.5534,77.1169
"MPL-2024-GU-0122","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Bhagwanpur, Block Surat","Healthcare","Primary Health Centre","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-06","2024-09-05","2025-02-05","2025-03-22","Completed",1500000,1500000,1830000,100,"State Health System Corp",4300,22.4337,70.6674
"MPL-2025-OD-0123","Establishment of Youth Digital Library and E-Learning Hub at Keshopur, Block Ganjam","Education","Public Library","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-13","2025-10-14","2026-03-14","2026-03-20","Completed",1400000,1400000,1372000,100,"Education Department",4380,21.7217,85.5885
"MPL-2023-WE-0124","Construction of Underground Covered RCC Drain in Shahpur, Block Hooghly","Water & Sanitation","Drainage Network","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-20","2023-11-21","2024-07-21","2024-07-28","Completed",2000000,2000000,1990000,100,"Urban Local Bodies Directorate",5300,24.3518,89.36
"MPL-2024-AS-0125","Construction of Model Anganwadi Child Care Centre in Village Shivpur, Block Nagaon","Rural Development","Anganwadi Centre","Assam","Nagaon","Nagaon Parliamentary Constituency","Gaurav Gogoi","2024-11-02","2024-12-05","2025-06-05","2025-06-13","Completed",900000,900000,909000,100,"Panchayat Samiti",4180,0,0
"MPL-2025-KE-0126","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Govindpur, Block Kollam","Public Amenities","Crematorium Shed","Kerala","Kollam","Kollam Parliamentary Constituency","Shashi Tharoor","2025-12-09","2026-01-12","2026-07-12","","In Progress",1100000,1100000,1045000,70,"District Rural Infrastructure Corp (DRIC)",4620,9.9055,76.3061
"MPL-2023-UT-0127","Installation of Open Gym Equipment and Play Ground Development in Madhopur, Block Lucknow","Sports & Youth Affairs","Open Gym & Sports","Uttar Pradesh","Lucknow","Lucknow Parliamentary Constituency","Rajveer Singh","2023-01-16","2023-02-05","2023-04-05","2023-04-15","Completed",800000,800000,736000,100,"Sports & Youth Welfare Directorate",2460,26.4967,81.9962
"MPL-2024-MA-0128","Construction of CC Road and Interlocking Pavement in Mohanpur, Block Nagpur","Infrastructure","Road Construction","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-23","2024-03-15","2024-08-15","2024-08-26","Completed",1800000,1800000,1683000,100,"Rural Engineering Services (RES)",3860,19.9965,74.2789
"MPL-2025-BI-0129","Construction of Dr. Ambedkar Community Center & Bhavan at Sundarpur, Block Bhagalpur","Public Amenities","Community Hall","Bihar","Bhagalpur","Bhagalpur Parliamentary Constituency","Sanjay Jha","2025-03-05","2025-03-27","2025-12-27","2026-01-08","Completed",2200000,2200000,2090000,100,"Municipal Corporation",4540,25.9361,84.8931
"MPL-2023-TA-0130","Installation of Solar-Powered Deep Tube Well & RO Plant in Narayanpur, Block Tiruchirappalli","Water & Sanitation","Drinking Water Borewell","Tamil Nadu","Tiruchirappalli","Tiruchirappalli Parliamentary Constituency","K. Kanimozhi","2023-04-12","2023-05-05","2023-10-05","2023-10-18","Completed",600000,600000,579000,100,"Public Health Engineering Dept (PHED)",2820,12.5621,79.2519
"MPL-2024-RA-0131","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Sitapur, Block Bikaner","Energy & Lighting","Solar Street Lights","Rajasthan","Bikaner","Bikaner Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-19","2024-06-12","2024-09-12","","Stalled",1200000,1200000,480000,25,"Zila Panchayat Electrical Wing",3740,25.5538,75.8279
"MPL-2025-KA-0132","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Bhagwanpur, Block Tumakuru","Education","School Classroom Block","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-01","2025-06-26","2026-05-26","2026-05-16","Completed",2400000,2400000,2388000,100,"Samagra Shiksha Abhiyan Cell",5380,14.4423,74.8389
"MPL-2023-MA-0133","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Keshopur, Block Bhopal","Healthcare","Primary Health Centre","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-08","2023-08-03","2023-12-03","","In Progress",1500000,1500000,1117200,76,"National Health Mission (NHM) Cell",4500,22.6934,78.7969
"MPL-2024-GU-0134","Establishment of Youth Digital Library and E-Learning Hub at Shahpur, Block Surat","Education","Public Library","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-15","2024-09-11","2025-03-11","2025-03-03","Completed",1400000,1400000,1435000,100,"Zila Parishad",4580,22.5737,72.3474
"MPL-2025-OD-0135","Construction of Underground Covered RCC Drain in Shivpur, Block Ganjam","Water & Sanitation","Drainage Network","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-22","2025-10-20","2026-05-20","","Delayed",2000000,2000000,2360000,55,"District Rural Infrastructure Corp (DRIC)",5500,21.8617,83.7685
"MPL-2023-WE-0136","Construction of Model Anganwadi Child Care Centre in Village Govindpur, Block Hooghly","Rural Development","Anganwadi Centre","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-04","2023-11-02","2024-06-02","2024-05-27","Completed",900000,900000,841500,100,"Women & Child Development Dept",4380,24.4918,87.54
"MPL-2024-AS-0137","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Madhopur, Block Kamrup Metropolitan","Public Amenities","Crematorium Shed","Assam","Kamrup Metropolitan","Kamrup Metropolitan Parliamentary Constituency","Gaurav Gogoi","2024-11-11","2024-12-11","2025-05-11","2025-05-06","Completed",1100000,1100000,1045000,100,"Municipal Council",2820,24.8006,93.6376
"MPL-2025-KE-0138","Installation of Open Gym Equipment and Play Ground Development in Mohanpur, Block Ernakulam","Sports & Youth Affairs","Open Gym & Sports","Kerala","Ernakulam","Ernakulam Parliamentary Constituency","Shashi Tharoor","2025-12-18","2026-01-18","2026-06-18","2026-06-14","Completed",800000,800000,772000,100,"Panchayat Sports Wing",2660,10.0455,77.9861
"MPL-2023-UT-0139","Construction of CC Road and Interlocking Pavement in Sundarpur, Block Gorakhpur","Infrastructure","Road Construction","Uttar Pradesh","Gorakhpur","Gorakhpur Parliamentary Constituency","Rajveer Singh","2023-01-25","2023-02-26","2023-08-26","2023-08-23","Completed",1800000,1800000,1764000,100,"Public Works Department (PWD)",4060,26.6367,80.1762
"MPL-2024-MA-0140","Construction of Dr. Ambedkar Community Center & Bhavan at Narayanpur, Block Solapur","Public Amenities","Community Hall","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-07","2024-03-11","2024-09-11","","In Progress",2200000,2200000,1899040,83,"Zila Parishad",4740,20.1365,75.9589
"MPL-2025-BI-0141","Installation of Solar-Powered Deep Tube Well & RO Plant in Sitapur, Block Gaya","Water & Sanitation","Drinking Water Borewell","Bihar","Gaya","Gaya Parliamentary Constituency","Sanjay Jha","2025-03-14","2025-04-17","2025-08-17","2025-08-16","Completed",600000,600000,606000,100,"Panchayati Raj Dept",3020,26.0761,86.5731
"MPL-2023-TA-0142","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Bhagwanpur, Block Madurai","Energy & Lighting","Solar Street Lights","Tamil Nadu","Madurai","Madurai Parliamentary Constituency","K. Kanimozhi","2023-04-21","2023-05-11","2023-11-11","2023-11-11","Completed",1200000,1200000,1230000,100,"State Renewable Energy Dev Agency",3940,12.7021,77.4319
"MPL-2024-RA-0143","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Keshopur, Block Kota","Education","School Classroom Block","Rajasthan","Kota","Kota Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-03","2024-05-24","2025-03-24","2025-03-25","Completed",2410000,2410000,2217200,100,"PWD (Building Division)",5592,25.6938,74.0079
"MPL-2025-KA-0144","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Shahpur, Block Tumakuru","Healthcare","Primary Health Centre","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-10","2025-07-02","2026-04-02","2026-04-04","Completed",1510000,1510000,1411850,100,"PWD (Health Division)",4712,14.5823,76.5189
"MPL-2023-MA-0145","Establishment of Youth Digital Library and E-Learning Hub at Shivpur, Block Bhopal","Education","Public Library","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-17","2023-08-09","2024-03-09","2024-04-23","Completed",1410000,1410000,1720200,100,"District Library Authority",4792,22.8334,76.9769
"MPL-2024-GU-0146","Construction of Underground Covered RCC Drain in Govindpur, Block Surat","Water & Sanitation","Drainage Network","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-24","2024-09-17","2025-03-17","2025-03-21","Completed",2010000,2010000,1939650,100,"Jal Sansthan",5712,22.7137,70.5274
"MPL-2025-OD-0147","Construction of Model Anganwadi Child Care Centre in Village Madhopur, Block Ganjam","Rural Development","Anganwadi Centre","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-06","2025-10-01","2026-01-01","","In Progress",910000,910000,389025,45,"Rural Works Organization",2592,22.0017,85.4485
"MPL-2023-WE-0148","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Mohanpur, Block Hooghly","Public Amenities","Crematorium Shed","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-13","2023-11-08","2024-03-08","2024-03-14","Completed",1110000,1110000,1104450,100,"Zila Parishad",3032,24.6318,89.22
"MPL-2024-AS-0149","Installation of Open Gym Equipment and Play Ground Development in Sundarpur, Block Silchar","Sports & Youth Affairs","Open Gym & Sports","Assam","Silchar","Silchar Parliamentary Constituency","Gaurav Gogoi","2024-11-20","2024-12-17","2025-04-17","2025-04-24","Completed",810000,810000,818100,100,"Municipal Board",2872,24.9406,91.8176
"MPL-2025-KE-0150","Construction of CC Road and Interlocking Pavement in Narayanpur, Block Thrissur","Infrastructure","Road Construction","Kerala","Thrissur","Thrissur Parliamentary Constituency","Shashi Tharoor","2025-12-02","2025-12-30","2026-07-30","2026-08-07","Completed",1810000,1810000,1855250,100,"Zila Parishad Engineering Wing",4272,10.1855,76.1661
"MPL-2023-UT-0151","Construction of Dr. Ambedkar Community Center & Bhavan at Sitapur, Block Ghaziabad","Public Amenities","Community Hall","Uttar Pradesh","Ghaziabad","Ghaziabad Parliamentary Constituency","Rajveer Singh","2023-01-09","2023-02-07","2023-12-07","2023-12-16","Completed",2210000,2210000,2033200,100,"Rural Development Authority",4952,26.7767,81.8562
"MPL-2024-MA-0152","Installation of Solar-Powered Deep Tube Well & RO Plant in Bhagwanpur, Block Nagpur","Water & Sanitation","Drinking Water Borewell","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-16","2024-03-17","2024-06-17","2024-06-27","Completed",610000,610000,570350,100,"Jal Nigam",3232,20.2765,74.1389
"MPL-2025-BI-0153","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Keshopur, Block Nalanda","Energy & Lighting","Solar Street Lights","Bihar","Nalanda","Nalanda Parliamentary Constituency","Sanjay Jha","2025-03-23","2025-04-23","2025-09-23","2025-10-04","Completed",1210000,1210000,1149500,100,"District Rural Development Agency",4152,26.2161,84.7531
"MPL-2023-TA-0154","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Shahpur, Block Chennai","Education","School Classroom Block","Tamil Nadu","Chennai","Chennai Parliamentary Constituency","K. Kanimozhi","2023-04-05","2023-05-07","2024-02-07","","In Progress",2410000,2410000,1265732,52,"State Educational Infrastructure Dev Corp",5792,12.8421,79.1119
"MPL-2024-RA-0155","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Shivpur, Block Jodhpur","Healthcare","Primary Health Centre","Rajasthan","Jodhpur","Jodhpur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-12","2024-06-14","2025-02-14","2025-02-27","Completed",1510000,1510000,1479800,100,"State Health System Corp",4912,25.8338,75.6879
"MPL-2025-KA-0156","Establishment of Youth Digital Library and E-Learning Hub at Govindpur, Block Tumakuru","Education","Public Library","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-19","2025-07-23","2026-03-23","2026-04-06","Completed",1410000,1410000,1402950,100,"Education Department",4992,14.7223,74.6989
